epoch,gen,recon,disc,lr,time
179,1.007166,0.037714,0.022402,0.000100,26.876675
180,1.005243,0.037721,0.021008,0.000100,26.872783
181,1.007534,0.038538,0.023464,0.000100,26.878784
182,1.006835,0.037647,0.025165,0.000100,26.832131
183,1.006065,0.037432,0.021472,0.000100,26.876896
184,1.006129,0.037103,0.021750,0.000100,26.863202
185,1.003781,0.037261,0.020821,0.000100,26.824559
186,1.011479,0.037543,0.025704,0.000100,26.866455
187,1.006127,0.037173,0.020897,0.000100,26.696653
188,1.006557,0.037034,0.021450,0.000100,26.876020
189,1.005652,0.036580,0.021540,0.000100,27.032928
190,1.004714,0.036792,0.021028,0.000100,26.959272
191,1.002791,0.036718,0.023083,0.000100,26.960421
192,1.008196,0.036863,0.018853,0.000100,26.891925
193,1.005111,0.036373,0.021528,0.000100,26.782721
194,1.004998,0.035943,0.020839,0.000100,26.845698
195,1.006929,0.036345,0.020503,0.000100,26.783567
196,1.006261,0.036047,0.020364,0.000100,26.927613
197,1.005123,0.037049,0.022209,0.000100,26.840986
198,1.005172,0.036490,0.021634,0.000100,27.027681
199,1.006831,0.035877,0.021393,0.000100,26.809220
200,1.006983,0.036184,0.019780,0.000100,26.881790
201,1.004240,0.035429,0.021761,0.000100,26.832916
202,1.000514,0.035603,0.020968,0.000100,26.821757
203,1.005720,0.035931,0.022414,0.000100,26.870634
204,1.008520,0.035692,0.020539,0.000100,26.881184
205,1.004746,0.035829,0.020830,0.000100,26.803355
206,1.003749,0.035269,0.021247,0.000100,26.878826
207,1.004993,0.035551,0.021254,0.000100,26.936108
208,1.005586,0.035764,0.019894,0.000100,26.863360
209,1.005119,0.034705,0.019663,0.000100,26.915506
210,1.010965,0.035193,0.021410,0.000100,26.949866
211,0.997069,0.035483,0.029089,0.000100,27.018062
212,1.005883,0.034943,0.019722,0.000100,26.833692
213,1.004540,0.034941,0.020750,0.000100,26.935768
214,1.006075,0.034717,0.018966,0.000100,26.898033
215,1.006313,0.034623,0.021521,0.000100,26.742005
216,1.005562,0.034833,0.020077,0.000100,26.873665
217,1.003042,0.034799,0.018855,0.000100,26.921106
218,1.007808,0.034518,0.021190,0.000100,26.838945
219,1.003600,0.034310,0.019111,0.000100,26.875300
220,1.004351,0.034320,0.021135,0.000100,26.810557
221,1.005015,0.034097,0.018792,0.000100,26.948026
222,1.005967,0.033939,0.019570,0.000100,26.697046
223,1.006314,0.034080,0.019122,0.000100,26.873098
224,1.005138,0.034447,0.020799,0.000100,26.939149
225,1.003948,0.033867,0.019305,0.000100,26.983228
226,1.005231,0.033649,0.019506,0.000100,26.795343
227,1.008213,0.033724,0.018573,0.000100,26.792925
228,1.004128,0.033903,0.018722,0.000100,26.718855
229,1.002653,0.033742,0.020981,0.000100,26.773312
230,1.006761,0.033696,0.019548,0.000100,26.969908
231,1.003936,0.033437,0.018835,0.000100,27.114690
232,1.005912,0.034236,0.018172,0.000100,26.917772
233,1.005539,0.033806,0.018276,0.000100,26.889419
234,1.004975,0.033716,0.019800,0.000100,26.853258
235,1.005901,0.033513,0.019039,0.000100,26.712140
236,1.004084,0.033459,0.018834,0.000100,26.876981
237,1.003681,0.033506,0.019802,0.000100,26.934511
238,1.006048,0.032847,0.018646,0.000100,26.915804
239,1.003312,0.032913,0.018324,0.000100,26.877578
240,1.006449,0.032939,0.019412,0.000100,26.953446
241,1.003263,0.032984,0.019253,0.000100,26.934711
242,1.003740,0.033325,0.021576,0.000100,26.853647
243,1.004786,0.032985,0.018568,0.000100,26.806155
244,1.006966,0.033306,0.019398,0.000100,26.967870
245,1.006180,0.032771,0.018624,0.000100,26.945852
246,1.006747,0.032871,0.018433,0.000100,26.913761
247,1.001882,0.032836,0.018604,0.000100,26.874235
248,1.007699,0.032710,0.018949,0.000100,26.894946
249,1.003824,0.032338,0.017488,0.000100,26.756870
250,1.005288,0.032498,0.018750,0.000100,26.732984
251,1.004124,0.032356,0.017314,0.000100,27.075323
252,1.006504,0.032439,0.018187,0.000100,26.943427
253,1.006212,0.032386,0.018842,0.000100,26.901869
254,1.004952,0.032216,0.016685,0.000100,26.906876
255,1.006692,0.032777,0.018352,0.000100,26.851172
256,1.004840,0.032047,0.016801,0.000100,26.720200
257,1.001471,0.032298,0.019141,0.000100,26.821501
258,1.003690,0.032186,0.017173,0.000100,27.025378
259,1.006272,0.032155,0.017809,0.000100,26.861181
260,1.004547,0.031695,0.017465,0.000100,26.845299
261,1.003712,0.032052,0.017342,0.000100,26.816957
262,1.004882,0.031946,0.017834,0.000100,26.887450
263,1.005976,0.031557,0.016649,0.000100,26.881328
264,1.004039,0.031842,0.016436,0.000100,26.760295
265,1.003474,0.031864,0.019251,0.000100,26.975888
266,1.004157,0.031650,0.017108,0.000100,26.920121
267,1.005633,0.031778,0.016738,0.000100,26.915997
268,1.007254,0.031514,0.018064,0.000100,26.877702
269,1.003493,0.031810,0.018379,0.000100,26.838659
270,1.004139,0.031277,0.016636,0.000100,26.778808
